"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id","loglik_full_data","df_full_data","aic_full_data","bic_full_data","MAD_in_sample","count_non_zero_coef_full_data","pen_loglik_full_data","MSFE_forecast","MAD_forecast","MAPE_forecast"
1,10.1697099536486,1.0249267459,0.00145174435870673,0.184574172299936,-0.00431463749412593,0.024022756876816,-0.0179988118784075,0.0547225376150848,0.0206823963585043,0.00676862678566868,0.0038282977783697,0.0110281419927975,0.0167628214138346,0.00219912754335541,0.00547015946973459,0.00678701793730727,0.00319980644428803,0.0051160362189572,-0.000184477918395358,0.000628203518941222,0.000192259585455709,3.6396322012174e-05,0.000411949116509796,0.000214470561220693,0.000457937129274292,-0.000135912124413727,0.000200578551981684,0.000392055513269191,0.000200897914468693,5.85582415222361e-05,2.48193469841164e-05,0.000162851314367064,0.000168422270634682,5.7263736920555e-05,1.23378748609551e-05,1.37345597470064e-06,0.000110638814926327,2.64059717676784e-05,4.74832827420937e-05,-3.72333705526171e-05,8.32684606342909e-05,0.00013651091765234,3.00889565066621e-05,0.000152120557479898,4.09707878687715e-05,-2.14341948880967e-05,6.65066246814632e-06,-5.36915091553276e-05,-4.37775142680315e-05,4.63906386266908e-05,-6.20010139437085e-07,2.87674340075393e-05,2.39776440069193e-05,1,930,-0.549129325536574,-457.962889513963,15,945.925779027926,1025.62408483428,"group-mcp","componentwise",0.274036199986565,15,"Model3",-2367.98356316004,86,4907.96712632009,5364.96139384056,0.276596014195772,86,-2.82756214905506,0.152609140401594,0.331527227301385,0.238241716895858
2,10.1697099536486,1.0249267459,-0.0207858470093339,0.0202691846897515,0.0745689790035413,0.0402958073390141,0.0249176711274636,0.0253803826219895,0.0237627591722028,0.0360079210724427,0.0200268393974636,0.0173926083971523,0.0186150554534425,0.00811122403478147,0.00900385063172913,0.00679694198769347,0.00912163533479809,0.00855315629338958,0.00315665937291581,0.00348754664322477,0.00195569465204594,0.0021903717467552,0.00271731409708073,0.000118508283196999,-7.61976747731628e-05,0.00038672689991522,6.04741259246646e-05,-5.86444608518849e-06,5.51667676327396e-05,4.25845998658833e-05,0.000291564890766559,-6.49416875335668e-05,0.000337661873418473,0.000236266450240883,3.45075817769998e-05,0.000127988296851597,0.000184554002009148,0.000261075005345694,1.77731884448054e-05,7.82592497306213e-05,0.000115522576907023,2.42167614262108e-05,-4.93364881019684e-05,-3.69561402888987e-05,-5.95510357383715e-05,1.36694324878745e-05,4.54514239144862e-05,6.59672953838957e-05,1.15549160640162e-06,3.28748906262235e-05,1.62335679490722e-05,-3.48882171269406e-05,-4.86691470469286e-05,1,965,-0.525118249666444,-490.118043581348,19,1018.2360871627,1119.18727451741,"group-mcp","componentwise",0.276885343263676,19,"Model3",-2367.98356316004,86,4907.96712632009,5364.96139384056,0.276596014195772,86,-2.82756214905506,0.152609140401594,0.331527227301385,0.238241716895858
3,10.1697099536486,1.0249267459,-0.0162881463903596,-0.00507543870074223,0.0014110938997643,0.0583527085808951,0.0207883382700371,0.0345484548784597,0.00789694779321331,0.0218863815302685,0.0209763880595723,0.00765353116646578,0.00650589113058261,0.00439171738264402,0.00461235334239944,0.00345310971019323,0.00779674954463003,0.00707312181282896,0.00510527636352211,0.00213036560484286,0.00172042928684788,0.00350583364571862,0.00274736843492714,0.000252206164449212,-0.000206242380468293,8.36869147363616e-05,0.00102411161925727,0.000184259704188838,1.87074392029705e-05,-0.000314959881546907,-0.000297388017367806,1.77608126171767e-05,0.000263783012625533,0.000112169825572511,0.000678402861986718,0.000379837646428152,-5.40182300537817e-05,8.9877603234793e-05,-0.000267881688888018,0.000111263722094401,0.000316961303786711,0.000432212412026477,0.000478243700774886,0.000275947639795837,-0.000108985671962159,6.43574874308448e-05,4.96593793095177e-05,0.000324362223035982,0.000110546733345321,0.000126743596528936,-5.14307360225932e-06,9.25726193473112e-05,9.75206144603357e-05,4,830,-0.472652580382934,-489.727712019539,18,1015.45542403908,1111.0933910067,"group-mcp","componentwise",0.274444517725561,18,"Model3",-2367.98356316004,86,4907.96712632009,5364.96139384056,0.276596014195772,86,-2.82756214905506,0.152609140401594,0.331527227301385,0.238241716895858
4,10.1697099536486,1.0249267459,-0.0144171094970786,0.0210267218806355,0.0731947013959534,0.0495436610291704,0.154366673846707,0.0774574761888301,0.0181645790785493,0.0377288450660275,0.0268083307864052,0.0262975201498141,0.031133530725958,0.0010095248091593,0.00211710591882183,0.00375099970744747,0.00474794914379986,0.00497517786804109,0.00314859963134721,0.0014849224733888,0.00153879680386045,0.00397229244792944,0.00387799213523097,0.000834925724998009,0.00016605884896875,0.00041034468312928,0.000119373767455953,-0.000254367221840685,0.000153052141780426,0.000463266068343586,0.000187834642821685,0.0005549297003802,0.000604059399763668,-4.12607611462897e-05,0.000164326708833058,0.000190795837198505,0.000128083817982828,2.8996027703816e-05,-2.38242204647068e-05,3.14303676055341e-05,-4.6775731298699e-06,7.42293041577945e-05,9.00523824878753e-05,-2.62190172057743e-05,5.85075783502319e-05,8.20176191583599e-06,1.89515644504923e-05,1.14498195149515e-05,4.35126239197485e-05,-5.22144667289408e-06,2.08934308354811e-05,1.78457711326023e-05,-6.22397773668585e-06,4,2736,-0.615631530259619,-486.839864168827,17,1007.67972833765,1098.00447491819,"group-mcp","componentwise",0.280049080006586,17,"Model3",-2367.98356316004,86,4907.96712632009,5364.96139384056,0.276596014195772,86,-2.82756214905506,0.152609140401594,0.331527227301385,0.238241716895858
5,10.1697099536486,1.0249267459,-0.00394224258378385,0.0965636183083769,0.0302436189031273,0.097211123022933,0.0619951096661938,0.124222713896692,0.0451124939133042,0.0630076086180728,0.0297293139934122,0.040134113469522,0.0603219192888757,0.00715462908245104,0.00756289697217566,0.00469771375793277,0.0111603273111699,0.00189727209465757,-0.000155321662707083,0.00467708546538085,0.00161290897002209,0.00786036666238319,0.000295092862801313,0.000257760639434842,0.00211773545458738,0.000415587730834943,0.00183012148034396,0.000927453462938286,0.000302599222129145,0.000377797298207782,0.000368062006720583,-0.000145107688565283,0.000266516674139405,0.000229714817782589,0.000307463788423366,0.000270633917867101,7.86940407050862e-05,0.000254418417091053,4.63202126421592e-05,-4.0399170647957e-05,5.87982041833547e-05,1.04672280002298e-05,-3.5723019534031e-06,4.3535075103222e-05,3.54870137811402e-05,7.82636968092878e-06,5.56606191187238e-05,2.81199467058961e-05,8.94360664522616e-05,3.4183069645425e-06,2.29225863739824e-05,6.33505622941696e-05,-3.07329124586501e-05,1,1920,-0.665030463209487,-440.388405507045,17,914.77681101409,1005.10155759462,"group-mcp","componentwise",0.277564929996473,17,"Model3",-2367.98356316004,86,4907.96712632009,5364.96139384056,0.276596014195772,86,-2.82756214905506,0.152609140401594,0.331527227301385,0.238241716895858
