"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id","loglik_full_data","df_full_data","aic_full_data","bic_full_data","MAD_in_sample","count_non_zero_coef_full_data","pen_loglik_full_data","MSFE_forecast","MAD_forecast","MAPE_forecast"
1,10.1697099536486,1.0249267459,0.00926338373639189,0.156711838201133,0.0199772979267291,0.0483985039796027,0.056011063938444,0.0243992999718432,0.0064471937648347,0.0107645426764675,0.0148373567024047,0.017956712322241,0.00559479982968251,0.00594243124535749,0.00187491281327412,0.00125347261853256,0.00665765858432954,0.00365691206871851,0.00234262689958481,-0.000188317339623556,0.00141854834955648,0.000693983512543644,0.000318450418736898,0.000210396593264558,0.000240815484004462,-1.00512021707037e-05,0.000782973694807688,-0.000249248992754987,0.000138703769076672,4.67037543286976e-05,0.000183975777909063,0.000139552187912799,6.16925358689091e-05,9.70808085507212e-05,4.94305555418646e-05,-0.000110299268992626,3.3925046135759e-05,9.70190226813582e-05,-6.31349271126739e-05,8.70988610322827e-05,-8.62214206970722e-06,6.76852376485957e-05,5.26531914483888e-05,0.000133572870915495,3.90948939391924e-05,0.000113515278215136,3.47154439073877e-05,-6.694894477838e-05,-5.01952241225707e-05,-2.4914033935464e-05,2.28216064363043e-05,8.11246185234161e-05,-4.28266956022771e-06,4,1472,-0.502670781788948,-409.188628352918,14,846.377256705837,920.762342125101,"group-scad","componentwise",0.267496362979608,14,"Model3",-2280.98678723777,88,4737.97357447553,5205.59561565928,0.274237752373263,88,-2.83180765372896,0.158216017642989,0.333509402767263,0.238518042031973
2,10.1697099536486,1.0249267459,-0.0219602232670897,0.0150201382582717,0.0735748612593027,0.0226489679589435,0.0404602127110325,0.0459058618687904,0.0178573792763302,0.0255289041664842,0.022064131194866,0.0138922234117922,0.0135676694057673,0.00329302376460074,0.00560162034800255,0.0100315036634293,0.0050415807566743,0.00460688754911125,0.00223771043001511,0.00228261041840868,0.00193358138565957,0.00398628825706899,0.00401027280342936,0.000352093519358195,0.000741450352370534,0.000679672140172372,0.000534747858165596,0.000427141218028037,5.59336351939994e-06,3.89518702724526e-05,-1.91329658229041e-05,0.000101566810542812,0.000162453177282824,2.21104154320314e-05,2.44763420395775e-06,6.84031038209513e-05,-9.32726630899426e-05,-3.61221969632205e-05,6.67362710362061e-06,3.29125536435782e-05,6.22942755814329e-05,2.63450022191848e-05,5.82221038027706e-06,3.68247252317798e-05,-5.4279638587825e-06,-3.04368803671253e-07,7.80108438258791e-05,1.97264841065879e-05,1.78435790811695e-05,3.53325865808967e-05,-3.17062101629806e-05,-8.03641072114289e-05,-4.95735765429107e-06,1,947,-0.517164565363305,-499.666823639338,19,1037.33364727868,1138.28483463339,"group-scad","componentwise",0.278226654739962,19,"Model3",-2280.98678723777,88,4737.97357447553,5205.59561565928,0.274237752373263,88,-2.83180765372896,0.158216017642989,0.333509402767263,0.238518042031973
3,10.1697099536486,1.0249267459,-0.00380687071286099,0.0027037680795814,0.0416709000348112,0.120340638368002,0.00156670316571563,0.0194605186113993,0.0222044400688273,0.0159545362053256,0.0309704032243183,0.0171956479363743,0.0360663881971412,0.00523920638541377,0.00614402470346572,0.00131864263662883,0.00904493971368185,0.00828858939623911,0.00189776454979752,0.000240638950658092,0.00261375341868124,0.00279418988833366,0.00368769416785437,0.000513941847008336,0.000356601812030953,0.000204025749719823,0.00023938283660043,0.000603049798875225,-8.60897651890893e-05,-4.96977650822904e-05,-4.61213414320443e-05,0.000216628569063632,0.00014947303146171,5.66871044309776e-05,0.000249814664652231,0.000120005400737541,0.000112774627241854,0.000103114037089979,-5.81508109489516e-05,0.000124014852479792,-6.29130753720912e-05,6.72339613737534e-05,5.98434766222768e-05,-4.91594304297949e-05,-8.17330413606286e-05,0.000134211185258244,0.000116079401420127,-5.52687546736911e-06,-3.80532699672514e-05,6.58975986002341e-05,4.63644353178276e-05,4.20985710979786e-05,-1.36732573641628e-05,1,931,-0.511790073386995,-420.763955885379,16,873.527911770758,958.539437964203,"group-scad","componentwise",0.264855044491916,16,"Model3",-2280.98678723777,88,4737.97357447553,5205.59561565928,0.274237752373263,88,-2.83180765372896,0.158216017642989,0.333509402767263,0.238518042031973
4,10.1697099536486,1.0249267459,-0.0126554185174496,0.00912276331250688,0.0450982894264096,0.0983610290393745,0.118993824329422,0.0612087602773807,0.0272040635632911,0.0342213984527572,0.0264845547007706,0.0492610347579295,0.0454324708105735,0.0108527691526668,0.00671254240065034,0.00582608207368488,0.00274628158758419,0.0142509487633891,0.00120455431794171,0.00361984547023078,0.00629575189682384,0.00233577723280739,0.00379856669436848,0.000842838808767645,2.61216427088989e-05,0.000394044683068782,0.0013016508585976,0.000606041548713559,1.67690748427377e-05,0.000263908827650506,0.000165893359014543,0.000160701018666436,0.000356794217497095,0.000127121597264676,0.00016847262562231,6.67762422598309e-05,-9.15808981517829e-06,0.000155513836194793,4.06868085693362e-06,0.000105553734363785,0.000187619387949866,1.91601487551408e-05,8.37506545840296e-05,-1.78476338986396e-05,-3.23924755434773e-05,9.95445309249342e-05,8.2936930822093e-05,6.17100102092577e-05,-1.15385858412071e-05,3.90158207650233e-06,7.54338200898779e-05,9.62667024729751e-05,6.71235734159272e-05,1,1716,-0.631229443639889,-463.173163416493,19,964.346326832987,1065.2975141877,"group-scad","componentwise",0.27636481631255,19,"Model3",-2280.98678723777,88,4737.97357447553,5205.59561565928,0.274237752373263,88,-2.83180765372896,0.158216017642989,0.333509402767263,0.238518042031973
5,10.1697099536486,1.0249267459,-0.0117987317358431,0.0704946547915231,0.0503744043968794,0.0155468201944192,0.0475654703424919,0.176275368939448,0.0288631738837585,0.034470672770484,0.028210599234812,0.0427155623402713,0.0533650528365897,0.00738393915564574,0.00381714788871813,0.00651424051034899,0.0127889238997517,0.00429712840458415,0.00241584714086419,0.0029907629251749,0.00215632138865228,0.00311200013976735,0.00327416922366708,0.000212739779852786,0.000255896587452356,0.000330869016143377,0.000171832332984881,0.00046931552978337,0.000105138036043022,0.000217023311739062,0.000217875937174753,2.20943312909014e-05,1.36652845600947e-05,5.24876539220657e-05,3.30458394424636e-05,0.000155355740119129,-5.56059719261196e-05,0.000189638705658729,6.92001728757057e-07,0.000109359388929621,9.29546902215666e-05,5.48594317664435e-05,0.000136808977940383,2.13451942866725e-05,8.43313091506003e-05,5.55493144062633e-05,-5.08347822774547e-06,5.52909053934838e-05,-1.16942714240016e-06,7.54893039290795e-05,2.52168198695996e-05,1.17725205366619e-05,6.77834833754256e-06,1,1873,-0.668952789549828,-485.065939945527,20,1010.13187989105,1116.39628763286,"group-scad","componentwise",0.28424588334228,20,"Model3",-2280.98678723777,88,4737.97357447553,5205.59561565928,0.274237752373263,88,-2.83180765372896,0.158216017642989,0.333509402767263,0.238518042031973
