"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id","loglik_full_data","df_full_data","aic_full_data","bic_full_data","MAD_in_sample","count_non_zero_coef_full_data","pen_loglik_full_data","MSFE_forecast","MAD_forecast","MAPE_forecast"
1,10.1697099536486,1.3237437953,0.0104874928886222,0.0898190251507012,0.0413406270562871,0.0641445703615456,-0.00263271690632028,0.0814488959728893,0.0152704735883064,0.0305908971283326,0.00203006671001587,0.015184035594176,0.0242341669774214,0.00213461379633167,0.00208924087902973,0.00499119674810855,0.000935463126682419,0.00498952974051578,0.00116369747287244,0.000102981494810123,0.000644087993639049,2.45926439367453e-05,-0.000224644815551947,1.52891492163059e-05,4.05923793132661e-05,-0.000146920294908037,0.000197867627768761,5.88720655587504e-06,4.8257218668649e-05,4.85142515835226e-06,-0.000121740758298241,5.84660487542002e-05,0.000141627791060231,5.9650127745881e-05,-9.00258502230787e-05,1.54423670208499e-05,0.000123111376534686,-0.000119544037942799,9.27586866318457e-05,-2.70519140850174e-06,1.33279468749728e-05,-4.29959128740622e-05,2.52022910438139e-05,1.78649505230249e-05,2.77603929810092e-05,-3.65058330002807e-05,4.18821846542714e-06,6.41763532964809e-05,-1.46758362248444e-05,8.88730137617213e-06,3.55684106153802e-05,0.000104327819579784,-2.72793995371636e-05,1,1165,-0.542653509764549,-402.54463092207,14,833.089261844139,907.474347263404,"group-lasso","componentwise",0.266056909543438,14,"Model2",-2624.3156644,76,5400.63132880001,5804.48672800415,0.283467033864807,76,-3.05539505175266,0.156988723334573,0.335316349839826,0.240723647263085
2,10.1697099536486,1.3237437953,-0.0240547920672893,0.018109103603347,0.0634616285701075,0.0449771552173288,0.0195095253942913,0.0263754276875329,0.0289482377395024,0.0348167618751264,0.0164909071270841,0.0204982933892792,0.015756932974284,0.00468753443845657,0.00780274807352797,0.00739473032206969,0.00657029366545855,0.00142077673866939,0.00161435593273226,0.000966686937063119,7.88519475483156e-05,0.00386785525627772,0.00391393590662922,-0.000150168877995837,0.000237572082036469,0.000293616418518227,0.000487031048404649,-1.96757029364617e-05,0.000225583682386557,0.000507591667616763,-0.000131148493961878,-1.39313581869389e-05,0.000239015531608008,4.62046517461542e-05,0.000273042123858079,0.000128625433297132,0.000158695057245143,6.89589571442476e-06,-2.53082650714798e-05,2.29778257593945e-05,3.79152490420206e-05,5.61752970556783e-05,1.1365358540668e-05,6.35618403963426e-05,2.64033765066986e-05,5.38682624834358e-05,-8.94132233189966e-06,1.34990171842428e-05,1.65929744114631e-05,3.93622885847845e-05,-4.89506086429946e-05,-2.5129431920393e-05,2.13520295290693e-06,1,673,-0.58379545131088,-512.193521780291,16,1056.38704356058,1141.39856975403,"group-lasso","componentwise",0.27995401887121,16,"Model2",-2624.3156644,76,5400.63132880001,5804.48672800415,0.283467033864807,76,-3.05539505175266,0.156988723334573,0.335316349839826,0.240723647263085
3,10.1697099536486,1.3237437953,-0.0282583755199894,-0.00354599192906226,-0.008258940821899,0.0377416054821758,0.0134246404264948,0.00784567554691738,0.00726085547318837,0.00788735304207865,0.00999772378506961,0.00910233493347081,0.0106144376396712,0.00293977383974347,0.00355004756614217,-0.000694215782189642,0.00442690680152178,0.00506695194508144,-0.000364288651234524,0.000226940078864439,0.00102223891932569,0.000958061654358704,8.48843269599213e-05,-7.44472422919847e-05,0.000391800029992207,-8.14291200155991e-05,0.000330870323659719,0.000411737233664954,1.71297176591762e-05,0.000220834250356192,6.90128426197802e-05,0.000127005104470557,1.7432798338839e-05,6.52272464471928e-05,0.000135659637883432,-5.90403369073434e-05,0.000154576393954035,9.39755780803723e-05,-1.56551528564255e-05,-3.74529090744354e-05,7.97343485140201e-05,-4.36750298684253e-05,6.94257618629708e-06,8.87483336777291e-05,-1.52064697476143e-05,4.4501973721362e-05,2.73427967848466e-05,4.93450336954447e-05,3.02025282816575e-05,2.05611674512081e-05,3.93481504029581e-06,-7.53463438155623e-06,3.61451051651276e-05,1,1041,-0.497252104169541,-585.419166677559,14,1198.83833335512,1273.22341877438,"group-lasso","componentwise",0.286943804497594,14,"Model2",-2624.3156644,76,5400.63132880001,5804.48672800415,0.283467033864807,76,-3.05539505175266,0.156988723334573,0.335316349839826,0.240723647263085
4,10.1697099536486,1.3237437953,-0.0252547477758412,0.0884498948038832,0.0345628214391722,0.0248847218642226,0.154282801278527,0.0792596145704582,0.0109378523333637,0.0131115098726435,0.0141122158975289,0.0101660613435103,0.0207629731180256,0.00267607679905998,0.00225097816892316,0.00150309979152919,0.000255996239039855,0.00314225138741222,0.00113145389958659,0.00140284659684229,0.000846112216279861,0.000916142013567903,0.000343767570622936,8.0923691933222e-05,0.000105592871450829,0.000427018621607894,0.000268055729982714,0.000458237171059247,6.87097087929696e-05,6.4168333028439e-05,8.3386361986013e-05,0.000101929642399425,0.000153553925208322,-2.67497554381468e-05,7.02504438375502e-05,-7.96896219123944e-06,5.47273907425208e-06,1.20068031956827e-05,9.85336992288351e-05,1.06117267472048e-06,4.66561046292693e-05,6.26209701878348e-05,2.41274530783749e-05,2.45097649436042e-05,1.78078341206379e-05,1.09712161764776e-05,-1.32547292907155e-05,1.77564017182414e-05,-1.40183435236258e-05,-1.47978421062865e-05,-2.00291476129703e-05,-2.40125483245985e-05,4.44692415535009e-05,1,2296,-0.702287000447444,-569.494918074661,13,1164.98983614932,1234.0617011815,"group-lasso","componentwise",0.291053359357416,13,"Model2",-2624.3156644,76,5400.63132880001,5804.48672800415,0.283467033864807,76,-3.05539505175266,0.156988723334573,0.335316349839826,0.240723647263085
5,10.1697099536486,1.3237437953,-0.0218556907498639,0.033992566244828,0.0219956735892261,0.0414194815979209,0.0900137711669845,0.115302538938008,0.0186896567947669,0.0317890162027981,0.024860213659827,0.0330753729154146,0.0293077757743591,0.00320788099671704,0.0119954821095206,0.0051514222157912,0.015119297659021,0.0104222462279502,0.00139551496078119,0.00245745633825247,0.00407750125609256,0.0038596375494399,0.00216935301930531,0.000560875770185234,0.000481741516089454,-7.41625517628342e-06,0.00180836424089386,0.00073302218122918,4.01894491395238e-05,0.000219111310472799,0.000550444440737026,-6.21966936915507e-05,0.000290685257242691,-2.46226116589495e-05,0.000196651050520842,0.000210724906943475,0.000142269503058669,0.000127467388745698,6.24483132391398e-06,-1.56494809058314e-05,3.30600195378421e-06,4.66950096977628e-05,4.8739972457798e-05,2.92254599233901e-05,6.40548453609491e-05,-8.48801445077889e-05,6.82701846214363e-05,-6.82430068265392e-06,1.43027652352935e-05,-2.45715516763261e-05,3.08314608588229e-07,4.80739443412466e-05,3.01418303043463e-05,1,2149,-0.729406986060249,-551.641471287292,19,1141.28294257458,1242.2341299293,"group-lasso","componentwise",0.293327077054376,19,"Model2",-2624.3156644,76,5400.63132880001,5804.48672800415,0.283467033864807,76,-3.05539505175266,0.156988723334573,0.335316349839826,0.240723647263085
