"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id","loglik_full_data","df_full_data","aic_full_data","bic_full_data","MAD_in_sample","count_non_zero_coef_full_data","pen_loglik_full_data","MSFE_forecast","MAD_forecast","MAPE_forecast"
1,10.7013581098628,0.6379237121,0.0228915867363867,0.240652795474757,0.00152138155381169,0.0259886856614234,0.0222812506805151,0.00654759854707136,0.0646881304717263,0.00226250428411219,0.00773855213202983,0.00516363898644502,0.00489690904183068,0.00805598337606524,0.000405835749457369,0.00069196826634287,-0.000188498930856306,0.00259474017373998,0.00122528585579719,0.000269513988048993,7.13441304890945e-05,0.000328528386890257,0.000313652477459361,0.000159699165453922,0.000293879575800035,-0.000226128904223038,0.000212838209452383,0.00021047216246998,3.99417508890889e-05,-0.000105896015360013,-5.83070246370626e-05,-7.1605858381874e-06,0.000163866134516293,9.57415267245281e-05,-0.000157707587684534,6.87742549344341e-05,8.55875177065038e-06,0.000133276381302623,6.33963862198335e-05,-5.57713391339777e-05,1.73197285186829e-05,8.80160040338313e-05,-8.73832114277762e-06,9.1054881370367e-05,-0.000133898553691528,4.9537135041564e-05,-0.000113996663624299,3.8961256977528e-06,-7.51283986374401e-05,3.59319797202253e-05,3.47413480944549e-05,-2.19983775981327e-05,2.29962211139241e-05,1,777,-0.534826416658657,-393.354219823828,11,808.708439647657,867.15386390565,"group-lasso","own-other",0.260999437982325,11,"Model5",-2322.99786069745,70,4785.99572139489,5157.96779960924,0.277664991528757,70,-3.14927909552363,0.224146249745077,0.377269323807519,0.252242496659584
2,10.7013581098628,0.6379237121,0.000642893897524956,0.000820328153128944,0.0893804929801718,-0.00163910053121297,0.0136069736008387,0.0514905726053605,0.000759496427216957,0.00321417103291336,-0.00306558481939783,0.00373521334609947,0.00437634393460656,0.00284567494249123,0.00360950413095323,0.00149946550056742,0.00135762619627956,0.00115326873207197,0.000373538530723707,0.000435921749118642,0.000535262506967065,-1.24865247263332e-05,0.000756160024006582,7.32900120949099e-05,0.000248917864868729,7.83428107233456e-05,-0.00018394844524652,-0.000195032585112224,-4.90126213463063e-05,-0.000146891556783726,-0.000134602044751252,-0.000214670604561476,5.18353997202367e-05,-4.46248052013569e-05,0.000157126093206528,7.20612879809966e-05,-0.000232153229001438,0.000125352606397398,0.000212936682360047,3.31134213249402e-05,-5.84522043707039e-05,0.000136858353911594,5.20657101928876e-05,-5.0977717039059e-05,4.7388619902252e-05,-3.76639760115357e-05,-1.9299941457625e-05,2.57286452539091e-05,1.60171977276713e-05,-1.59771424336055e-05,-4.03857134594185e-06,-1.05869361162106e-05,3.87940492422326e-05,1,695,-0.429827551833573,-460.952683580526,9,939.905367161053,987.724350644865,"group-lasso","own-other",0.268568854900958,9,"Model5",-2322.99786069745,70,4785.99572139489,5157.96779960924,0.277664991528757,70,-3.14927909552363,0.224146249745077,0.377269323807519,0.252242496659584
3,10.7013581098628,0.6379237121,0.0101995889359834,-0.027289931502351,0.000255145073216051,0.288470502523368,0.0644851057118112,0.0129384389743614,0.00322180481096495,0.0203236903291293,0.076637402367567,0.000881012767526607,0.0145236226889433,-0.00638899595800783,0.00568890510925046,0.00911162712394217,-0.00389233688528117,0.0102022421786113,0.00124641361770904,0.003185611249123,0.00252974753139267,0.000421914091154846,0.00364452090215303,-4.42418808491227e-05,0.000894395259115394,4.36570830370603e-05,0.000156804389081871,0.000393715397085585,-6.89835761229921e-05,0.000108634986497527,0.000112759370149888,0.000249310528568004,-1.07268174552308e-05,0.000128881423783199,0.000113237837568849,-7.45399082976472e-05,5.32108474514999e-05,0.00014410752053446,0.000104983971479941,0.000100309666883408,1.48955328219977e-06,-1.13943098372646e-05,-3.40810755026677e-05,4.73188761450657e-05,0.000123642653438943,6.95276596865967e-05,-4.70511643222788e-06,2.98596438643795e-05,0.000133066363781961,5.25071067738393e-05,-6.87528784480355e-05,2.76028274794536e-05,3.88262865017249e-07,5,1500,-0.644088900146142,-412.233408794915,16,856.46681758983,941.478343783274,"group-lasso","own-other",0.262450560057565,16,"Model5",-2322.99786069745,70,4785.99572139489,5157.96779960924,0.277664991528757,70,-3.14927909552363,0.224146249745077,0.377269323807519,0.252242496659584
4,10.7013581098628,0.6379237121,0.00187592030070618,0.0119841798107306,-0.00562080411740014,0.0603747710441215,0.178198834767802,0.0721339948755127,0.0115046078061041,0.0085651489427273,0.00792867795863614,0.00327700127379178,0.0157658449617394,0.00168236870534146,0.00206137541463799,0.00096731967851021,0.00325964747866588,0.00356752741095637,3.28793264211512e-06,4.91382707959718e-05,0.00020591346239583,0.000880584911669173,0.000940279522131726,-0.000155617113210393,9.29837116899859e-06,0.000345538834535448,0.000277557414679053,0.000128777924037416,6.38277125185125e-05,-4.20238666959846e-05,-5.01096929554342e-05,9.15171969120756e-05,6.14527183416907e-05,2.19149981165723e-05,1.78995245602688e-05,1.34230828513237e-05,0.000124803963345207,6.73209434514698e-05,4.49720967883356e-05,-1.84290647934149e-05,-5.17119569176305e-05,2.135413311469e-05,9.10217526247797e-07,6.75794928691706e-05,3.80028699923731e-05,3.23120988897389e-05,6.91222513239166e-05,8.52068660853748e-05,6.34165472593363e-05,4.08733047318527e-05,-4.36225050856971e-05,2.30070198228516e-05,2.37039580091603e-07,1,1397,-0.572565801626687,-510.229367299087,13,1046.45873459817,1115.53059963035,"group-lasso","own-other",0.278243923501735,13,"Model5",-2322.99786069745,70,4785.99572139489,5157.96779960924,0.277664991528757,70,-3.14927909552363,0.224146249745077,0.377269323807519,0.252242496659584
5,10.7013581098628,0.6379237121,-0.0386548251383327,0.0122250398007253,0.00536526909052314,0.0465913099216545,0.100860779171239,0.305221414860531,0.0214842584449479,0.023871910779447,0.031299654185635,0.0322154647700842,0.14741757665335,0.00848596329535591,0.0129053802926414,0.0108489211889188,0.0175768994371312,0.055517908350564,0.00275348351089913,0.00301300724309356,0.00350179622643943,0.00372586002230873,0.0141746413489223,0.000243142093485495,0.00150624488673759,0.000648672774216299,0.00109439342229011,0.00201885435497898,0.000119603804651156,0.000478156090176559,0.000191810035685142,0.00041447544825749,0.000667837402431625,0.000163976456194302,0.000110528095743295,-2.21016298829501e-05,0.000321253601910155,0.000428821255877658,-5.73722695520503e-05,9.21594729005262e-05,6.60053030571853e-05,2.48424093863583e-05,0.000182600031955713,7.36130271805897e-05,8.22339721296467e-06,3.91843222774529e-05,-4.78059669289357e-06,0.000173355252985407,2.66793040820994e-05,4.16088065795795e-05,2.42551144392293e-05,2.7480341779545e-05,3.13998121195874e-05,1,1343,-0.967970425258575,-541.922732755822,21,1125.84546551164,1237.42309364054,"group-lasso","own-other",0.318062181201203,21,"Model5",-2322.99786069745,70,4785.99572139489,5157.96779960924,0.277664991528757,70,-3.14927909552363,0.224146249745077,0.377269323807519,0.252242496659584
