"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id","loglik_full_data","df_full_data","aic_full_data","bic_full_data","MAD_in_sample","count_non_zero_coef_full_data","pen_loglik_full_data","MSFE_forecast","MAD_forecast","MAPE_forecast"
1,10.8458559525707,0.0262844337,0.0441490807141622,-0.0111706344628948,-0.00275922623603452,0.00435156027242295,0.163496616465349,0.00879088906854818,0.00258370786163593,0.000719081749345901,0.00163835368903259,-0.00145882707576705,0.00498993565693223,0.023677225272946,0.000552568105782203,0.00143682923515379,0.0795157226163198,0.00588019877578827,-0.000178907601885581,2.26639171385602e-05,0.00718187044570329,0.0151081166204669,0.00377173729452206,-0.000274255065999851,-0.000124505346357321,-0.000844804555807228,-0.00015637450483804,0.00104111842124528,-8.80716617475993e-05,5.46830144200617e-06,-7.14653345057126e-05,-3.39626273480554e-05,0.00074177493550729,0.000157395949132368,-6.15886750617103e-05,6.95539496071741e-05,-2.59387657803996e-05,0.000409139416595975,5.76286242710081e-05,5.28605172615475e-05,4.00649617260763e-06,4.51935594044293e-05,0.00020437592868888,-2.38021799485384e-05,-3.7591613329385e-05,3.48894497782782e-06,6.92107604078001e-05,2.13775334194881e-06,9.23216316248876e-06,9.54478646734465e-06,0.000106862362708864,5.39730470440553e-05,0.000147305551758747,1,1912,-0.241891072062974,-346.858450428759,30,753.716900857518,913.113512470227,"group-scad","elementwise",0.252198700258757,30,"Model8",-1272.38036088044,166,2876.76072176089,3758.86593581204,0.246251234322991,166,-0.956235183439791,0.189516962007325,0.360287414431481,0.259608129889373
2,10.8458559525707,0.0161872214,0.0289357457976483,0.0148299936162932,0.0808339644167705,0.107289304692564,0.0878221888842934,0.0684979354361991,0.128130454102964,0.0146108974466759,0.154058193282169,0.053076602969661,0.00934164873796554,1.60188877279949e-05,0.00291490403563311,-0.0466729885756883,0.0549480240674204,-0.0781859422479418,-1.88912334015673e-05,0.00161204347145839,0.0615741780651,0.0167562094100844,0.189314102087471,5.54288764508913e-05,0.000999425814682,-0.0642931917972958,0.0146221090255117,0.00929962503606803,9.0169138532945e-05,3.86754859763381e-05,0.0154124755051341,-0.0766503241879452,0.0276817048357041,-5.13545704211775e-06,-6.6635712046076e-05,0.00326507985805595,-0.0441905232168971,-0.027074811508707,2.85648509733107e-05,3.46409720913466e-05,-0.0172992077418681,0.00102809731721442,-2.25976102331342e-05,2.34659012031627e-05,-6.48593980512246e-06,-0.00192394391597325,-0.00927220945861821,9.71170347123984e-06,-2.58826146185369e-06,2.21227561137646e-05,0.00244165974303787,0.000146768073468413,-2.78500392109615e-06,1,1656,-0.180378369769676,-248.05860599713,34,564.11721199426,744.766705155331,"group-scad","elementwise",0.239964117008146,34,"Model9",-1229.47650859854,184,2826.95301719708,3804.70819421764,0.245175538128753,184,-0.88435666851043,0.184548526344452,0.351420281858847,0.252465796106815
3,10.8458559525707,0.0262844337,0.0297628415716184,0.131745803936275,-0.0406619360869553,0.0853961383107701,-0.020971097892263,0.0466602996720107,0.138670189938595,0.0862292243658286,0.0520952085179879,-0.00924025811049247,0.00630112383111103,0.0372974284030103,0.0861230949103341,0.0193184600878489,0.0160778473672837,0.151063965716168,0.00163599130593026,-0.00754846443741777,0.155361728816228,0.000682911019271498,0.138835408736905,-0.00124597002743249,0.000294900767525725,-0.0461361825761901,-0.000143026909158248,0.00114002497791665,0.00210147440282483,-6.30061296204022e-05,0.000152641394892588,0.000113221457839251,6.01283865847272e-05,5.32349450942674e-05,3.64183110730087e-06,6.80744817442288e-06,1.44190446963674e-06,3.42078357369713e-05,-1.41096310703237e-05,4.93414218847503e-05,-0.000101804838086714,-9.30432496536015e-05,1.59042689571988e-06,-1.53698568040586e-05,1.55108797805565e-06,1.55440002536183e-05,-1.88715327792974e-05,-1.39801524416234e-05,-9.94489267411338e-05,2.99884261818951e-08,-7.96977740248498e-05,2.52686113809742e-05,2.5202381173328e-06,1,1550,-0.174843337567686,-224.514851067728,29,507.029702135456,661.113093361075,"group-scad","elementwise",0.245521487549749,29,"Model8",-1272.38036088044,166,2876.76072176089,3758.86593581204,0.246251234322991,166,-0.956235183439791,0.189516962007325,0.360287414431481,0.259608129889373
4,10.8458559525707,0.0262844337,0.0368864510858786,0.0531297835290151,0.0581431535464357,0.038974238332345,0.10892207545186,-0.0156649104621643,-0.000970677685130609,0.125803346069036,0.0196100523356225,0.148274486025818,0.138953627532719,8.86075727148697e-05,0.00100465918792982,-0.00509641986121328,0.139606183715512,0.00370796667620869,-1.85940874090283e-05,0.00159641565734571,0.000102136509424477,0.0425773366945673,0.00535025713804718,-7.72170132250633e-05,0.000660640523418551,0.000283758172792576,-0.00062132096744292,-0.000401180948382734,0.000105530514581867,4.29948029743059e-05,8.39458709648953e-05,0.00025917274647768,1.37453030771142e-05,3.05355472552914e-05,-6.90470599069538e-05,-5.76918655696933e-05,-0.00219945144142913,-0.000214466636302685,-4.17511816540387e-05,4.18982339876273e-06,3.75346232222597e-06,-0.000262262971000872,1.9601219030136e-05,2.69864462425443e-05,-4.24271561407404e-05,-7.93475920543933e-06,8.57459826281308e-06,1.2500731713065e-05,-2.04945909520553e-05,-6.87643267280319e-05,4.51886082938055e-05,-0.000118389291363975,4.77087120658228e-05,1,1816,-0.20657945716378,-285.125928543519,28,626.251857087038,775.022027925566,"group-scad","elementwise",0.249155484877234,28,"Model8",-1272.38036088044,166,2876.76072176089,3758.86593581204,0.246251234322991,166,-0.956235183439791,0.189516962007325,0.360287414431481,0.259608129889373
5,10.8458559525707,0.0161872214,0.0300150795479228,0.0570714855675196,0.049416545493708,0.0123353339493333,0.028399418511284,-0.000183925998684657,0.193036822906953,0.133309850548492,0.035760187830099,0.0690010145095708,0.0114152388902736,0.0608060883918275,0.09667817287524,-0.0464369414296009,0.164639793389754,0.0413779023058156,0.0634414933767949,0.0531057323565612,0.189578031447967,0.147301730139567,-0.0439291422070802,-0.0281571859857648,0.0591428251883999,-0.00370105610281967,0.0232569440158392,0.116913363771781,0.000762381121934142,0.000153816145057428,0.00885293069035983,-0.00387092587771829,-0.00490698883547289,0.00247470655765941,0.000500419624009858,0.0315980314961653,5.8058039184314e-05,0.00887107933517728,-0.000154699183992009,0.000659901734838865,-0.0541195366611591,-2.59970546845173e-05,0.0128134426280968,-3.09730491678392e-05,7.16970955645086e-05,0.00446938157100122,4.39464646592097e-06,0.00425634858381216,2.39936748700334e-05,5.4754663232609e-05,0.00283811046409938,1.35947546765399e-05,0.00422489430857706,4,2135,-0.11577076916327,-144.802672766145,42,373.605345532291,596.760601790083,"group-scad","elementwise",0.241513049362067,42,"Model9",-1229.47650859854,184,2826.95301719708,3804.70819421764,0.245175538128753,184,-0.88435666851043,0.184548526344452,0.351420281858847,0.252465796106815
