"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id","loglik_full_data","df_full_data","aic_full_data","bic_full_data","MAD_in_sample","count_non_zero_coef_full_data","pen_loglik_full_data","MSFE_forecast","MAD_forecast","MAPE_forecast"
1,10.3353497328377,1.7351220676,0.0196985249089071,-0.00490285641583846,0.000420818815435945,0.0126527553009841,0.00623712344801159,0.0248754664155482,-0.00554465820062943,-1.95568531156862e-05,-0.000367549609409459,0.00146525410312455,0.00118329114556989,-0.000376137243411491,0.000176260386217861,0.000210974228055677,0.00059131387597903,0.000751446415979822,0.0346731866588579,-0.00014062536050256,0.00120920160067595,-0.000356459633148276,6.77899061834355e-05,0.000452844149971837,9.51238851216702e-05,-8.8326492544255e-05,-0.000590257342648445,-5.15588694075549e-05,7.41380913680703e-05,-8.6580542009237e-05,0.000108757996494993,3.40588185742687e-05,8.45520016905412e-05,1.3579434085808e-05,-1.15962565402276e-05,-8.32947432504003e-05,-0.000101698443041863,-0.000173587825826743,4.01279591082336e-05,4.33801229294552e-06,-0.000115146796593103,-7.81822187477854e-05,-3.76496670193704e-05,7.12696461794241e-05,5.0291164724437e-05,2.11457430910505e-05,-2.47475841171699e-05,1.04255738308999e-06,-2.72049153171e-05,1.11914252200547e-05,4.80741679340353e-05,-3.93272849473302e-05,-7.59440243580903e-05,1,734,-0.631740512610321,-428.259681826181,6,868.519363652362,900.398685974904,"group-lasso","elementwise",0.266255545711896,6,"Model1",-3241.60860814642,50,6583.21721629285,6848.91155787452,0.30031750971842,50,-6.06264672196785,0.165470439899386,0.341011390741864,0.246200774527909
2,10.3353497328377,1.7351220676,-0.0183126411584655,0.0153292654649992,0.244735799492228,0.0164298461006998,0.0115027483077045,0.00064169215515921,-0.0015067489283469,0.0202767438372531,0.00254498340512892,-0.000447568736200143,-0.0106315799702628,0.0010643658400373,0.051203573286318,0.00489295485350617,-0.00351761398815952,0.00299936675472001,-0.00111202236475599,-0.00320429558231379,0.00183244798728365,0.00120537020581972,0.00172700407700838,0.00202741371693083,0.00850309573528762,-0.000593034929990616,0.000703625188358736,-0.000805789930919862,0.00141872200518711,0.00691867014317118,-0.00120604721740168,-0.000247244290683063,-0.00221294808113119,0.000324783536537467,0.00464869587467935,0.00032258429926226,0.000536486377615688,-0.000889606259976069,0.000217075226484917,0.00014938616542878,0.000185863286919106,0.000106930532418824,0.000258064293356698,1.82554882927433e-05,0.00113018854127101,-4.26976864602371e-06,4.16932996094038e-05,-0.000416607293715492,1.73971052089866e-06,-0.000230652141716619,0.000106839028682301,4.09928945061035e-05,-3.0930731736939e-06,5,1500,-1.28379974495087,-558.070705133585,17,1150.14141026717,1240.4661568477,"group-lasso","elementwise",0.285907667420681,17,"Model1",-3241.60860814642,50,6583.21721629285,6848.91155787452,0.30031750971842,50,-6.06264672196785,0.165470439899386,0.341011390741864,0.246200774527909
3,10.3353497328377,1.7351220676,-0.0297457428326358,-0.00446464476204357,0.00231086404578657,0.157393769310084,0.00454128355305709,0.00830136210404683,-0.00210692088180481,-0.000361281017521386,0.128005071845488,-0.000451919611206592,0.000868430306897185,0.000455652782959635,0.000765999485637474,0.067806120921662,0.000261541653945755,0.00128021411076911,0.000471898241567483,2.16721842470091e-05,0.00929822642641999,6.87801450792582e-05,0.000337646221093886,-4.08899041005523e-05,6.77512555746359e-05,6.13432417901575e-05,0.000117831890353219,9.23511264419326e-05,0.000257069108456646,-5.02210174334578e-05,0.000152091586908874,0.000119006546843003,7.79323818110515e-05,-5.1614452348968e-05,-5.3503348861497e-06,-1.00949837866359e-05,-8.45997196440447e-05,-1.95740513342285e-05,2.77686511162598e-05,-8.16481007342312e-06,-4.98333003400611e-05,1.56445929062562e-05,-1.75813884503305e-06,1.28303847631321e-05,-2.55995218107441e-05,-4.88674145080865e-05,1.25395302498821e-05,3.08874817960418e-05,-4.84540960742545e-05,8.29043174680724e-05,-7.07469018427706e-05,2.40966651240048e-07,9.93552033193633e-06,1,1437,-1.22462092775505,-614.086948066702,9,1246.1738961334,1293.99287961722,"group-lasso","elementwise",0.298026136699318,9,"Model1",-3241.60860814642,50,6583.21721629285,6848.91155787452,0.30031750971842,50,-6.06264672196785,0.165470439899386,0.341011390741864,0.246200774527909
4,10.3353497328377,1.7351220676,-0.0495451301034874,0.00282464746721013,0.020297229136264,0.00358748750072108,0.000820713412756271,0.00947230379991834,0.000635283964731195,0.00247152775981817,0.00455224780744582,0.00337640755334886,0.0164798822678433,0.000213044684287892,0.000337951941226275,-0.000263582017606921,0.00268367322335669,0.00887060207324498,0.00020248395169726,0.000182705852807461,-1.81935817571063e-05,-3.61905428748731e-05,-0.000506980601488909,0.000188805991052712,0.000226536715585675,-0.000241335224487395,0.000218752543293986,0.00121979050352121,9.22372476228006e-05,-9.89216522674357e-05,-0.000159931549383151,4.56087737696401e-05,0.000349328322788678,-4.71853060668692e-06,0.000147774095226258,-7.95287270114326e-05,-0.000128575667921497,1.75322407536213e-05,-1.43949502158e-05,-3.02406885036462e-05,-4.95875064639333e-05,-4.49002088694686e-05,6.72003287795176e-05,-1.59152713312435e-05,-6.59263167002007e-05,2.14568688225061e-05,3.69196041069847e-05,8.80237808708459e-05,-4.16523581216879e-05,3.34999234704921e-06,1.78405809366416e-05,5.94927710335532e-05,-2.88345417783131e-05,1,1384,-0.819768539143335,-954.370149077775,10,1928.74029815555,1981.87250202645,"group-lasso","elementwise",0.331954095383662,10,"Model1",-3241.60860814642,50,6583.21721629285,6848.91155787452,0.30031750971842,50,-6.06264672196785,0.165470439899386,0.341011390741864,0.246200774527909
5,10.3353497328377,1.7351220676,-0.0334496600878659,0.00906633950573808,0.000617706694683873,0.0544326398491362,0.0111053941013846,0.0723401633096251,0.00558234965375941,0.00010011893578635,-0.00239786041979939,0.000506954597708991,0.223661387792923,0.000884042124530195,9.31990226622105e-05,0.000591901647113677,0.000206978847361528,-0.000354215127387205,-6.43205863116248e-05,0.000151111580348161,0.000120940064015587,0.000547175486015559,0.151316576624378,-9.75733590783279e-05,0.000194038215874909,-5.89941993504215e-05,-0.000117571591062913,0.00150687104375201,0.000103166419920441,7.57248170858324e-05,3.2625015342562e-05,-2.77444189310418e-06,0.000766742363747685,8.16611469757046e-05,0.000117235872130881,-0.000102334146202665,8.5311667512243e-05,0.000272626557923763,-4.77151144535384e-05,4.54012928193168e-05,1.99440844705579e-05,3.29926974790077e-05,0.000300382322600124,-1.4071824770067e-05,-4.0936987542359e-05,-9.60938374650665e-05,0.000124939948326833,9.92560488196351e-06,4.41584861784101e-05,-5.29634481857667e-06,8.42597934544272e-05,4.84786488100105e-05,0.000129559321048804,1,1091,-2.10271699750827,-683.708355181796,8,1383.41671036359,1425.92247346031,"group-lasso","elementwise",0.319444103376543,8,"Model1",-3241.60860814642,50,6583.21721629285,6848.91155787452,0.30031750971842,50,-6.06264672196785,0.165470439899386,0.341011390741864,0.246200774527909
