"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id","loglik_full_data","df_full_data","aic_full_data","bic_full_data","MAD_in_sample","count_non_zero_coef_full_data","pen_loglik_full_data","MSFE_forecast","MAD_forecast","MAPE_forecast"
1,10.3353497328377,1.7351220676,0.0180449994401898,0.0210369803013908,0.00357307849337151,0.0265891433847949,-0.00852063397752467,0.0170335621615296,-8.07019160982638e-05,0.00023652765394213,0.0001957608192872,-0.0011602042921068,-0.000277376973443884,-0.00145253284578291,0.00023924103413895,-0.000244118281743877,-5.80312318084869e-05,0.000110595072931661,1.99153383482308e-05,8.72600049644377e-05,-3.20497617231676e-05,0.000152925533623626,0.000101818891532556,-0.000506226733395494,9.60211571721058e-05,-3.06546231898056e-05,0.000171219736590924,-7.17478311738814e-05,0.00016712366030709,1.15452414872765e-05,-6.94987255780283e-06,-9.65350618943947e-06,-3.41727124537139e-05,7.23150779324531e-05,5.91230848016479e-06,-9.09627467668391e-05,-0.000139051829820732,-0.000199613645463195,2.33219561052114e-05,-0.000153742610318629,5.17007631342477e-05,-8.17960430322995e-05,9.00281778246866e-05,-5.94793653498295e-05,6.80431187298458e-05,-5.56522023964282e-05,-7.36567576329351e-05,1.89105728586591e-05,-0.000124521549686996,5.27024767221389e-05,9.65115780202294e-05,4.17771005157402e-05,-0.000117039242518452,1,639,-0.451140212421634,-440.675351971002,5,891.350703942004,917.916805877455,"group-mcp","elementwise",0.268140281735182,5,"Model1",-3095.24213752252,52,6294.48427504505,6570.80639028999,0.297725689594473,52,-5.64029562117629,0.172002291028796,0.352519843565292,0.256296078230247
2,10.3353497328377,1.7351220676,-0.0394947674127184,0.000149041448627506,0.0675345010205565,-0.0215905512648853,-0.0219090308089576,0.00444909545720056,-0.000369364192002227,0.0808938064750294,0.0150468276408469,-0.000876194307867014,0.00730231001124781,2.46112048056569e-05,0.0295439657031691,-0.00212524988972558,0.00054877468101925,0.000986022244296925,-3.89692289423679e-05,0.000433778895632644,-5.34614906089047e-05,-0.000328915784581446,0.000509500856621156,9.45462908241735e-05,0.000219063035866662,0.000104162468290223,0.000228095712922176,2.98667640238246e-05,0.000111768217180829,-7.37625373274621e-05,0.000142755216368913,-8.50150109246317e-05,-0.00019797211700179,-1.6023833853547e-05,0.000103128565950757,0.000127429355775489,5.6460043951061e-06,7.69894940906164e-05,1.83641800284731e-05,0.000224220478499858,-2.92985952831535e-05,1.44356895823869e-05,3.31292091888721e-05,8.22480903521418e-05,-0.00012257726921028,-6.88213404831505e-05,4.68694450484192e-05,-4.37724999978192e-05,3.53967400138616e-05,-3.03726251346824e-05,-7.34061417460033e-06,-1.43567977860911e-05,-4.63602372489736e-05,1,883,-1.032394385236,-729.264849752288,9,1476.52969950458,1524.34868298839,"group-mcp","elementwise",0.306779829906789,9,"Model1",-3095.24213752252,52,6294.48427504505,6570.80639028999,0.297725689594473,52,-5.64029562117629,0.172002291028796,0.352519843565292,0.256296078230247
3,10.3353497328377,1.7351220676,-0.034602782304404,0.00338928436582065,0.0110678267348103,0.207353215871402,-4.02044008424972e-05,0.0200320738283234,-0.0102419221595519,0.0104324883842565,0.0930385777766948,7.30080094050246e-05,-0.0307330884862291,-0.00200035645276479,0.00521118265188916,0.0200639473366912,-0.000137645244485073,0.00412319883050394,0.000635165962402916,0.000368485686823833,0.0105305146681172,-4.13445627932258e-05,-3.83577792838984e-05,-0.000355737789370622,-0.000655586143669584,0.000454731872927819,-3.25385794865854e-05,3.8948762756516e-06,0.000318925993474135,0.000167978453538645,0.00109579463484081,4.32803631794564e-05,-1.11867398626949e-05,0.000170102754206141,0.000182511366779178,-0.000801142362245942,2.47532491355684e-05,7.90712439996282e-05,-0.000258796387400544,7.91763375574635e-06,6.7111939616107e-05,-4.1254647880155e-05,8.74281443798943e-06,-2.01399504634032e-05,4.05610272690929e-05,9.12326559751552e-05,3.62705123651473e-05,-7.16739422269257e-05,7.03671041309085e-05,1.56651486068303e-05,7.25095357759922e-05,6.55236820791981e-05,0.000128096194449155,1,870,-1.29841190110589,-670.223878678173,13,1366.44775735635,1435.51962238852,"group-mcp","elementwise",0.304857336478364,13,"Model1",-3095.24213752252,52,6294.48427504505,6570.80639028999,0.297725689594473,52,-5.64029562117629,0.172002291028796,0.352519843565292,0.256296078230247
4,10.3353497328377,1.7351220676,-0.0201062185059877,-0.00667698513404003,0.0366119157560713,-0.00640501576914885,0.104600129557474,0.00200141278790804,0.010813654128397,0.0011228749971017,0.000193647154188322,0.115214718399987,-0.000682269760088478,0.000168696849178261,-0.000471232898121146,-4.86992301399216e-05,0.0832713712033035,7.9885905187196e-05,-0.000148622670599851,-4.47761744615868e-05,-1.49704299925279e-05,0.0308693244331801,-3.96481213098114e-05,4.41041826094824e-05,-0.000177213792973155,-0.000137932795745638,0.0026296221168854,0.000145735183550106,1.39637810644324e-05,-4.74318520821158e-05,-3.15775177781637e-05,-0.00425481478552669,9.05429875164325e-05,-1.17722028499405e-05,1.4928206168627e-05,6.62852313954926e-05,-6.46113112524992e-06,1.17399970551726e-05,1.40983101363597e-05,-7.85767989180069e-05,-3.71140386049375e-05,-4.73147066906665e-05,6.86726339689396e-06,-0.000129966385189746,-7.91735952030295e-05,2.80400849615012e-05,0.000228670462303197,-2.92172382870113e-05,4.2640292553039e-05,-0.00010080786339309,-3.06873802610114e-05,9.1763963697636e-05,4.22035457594237e-05,1,1404,-1.28758188667867,-566.154365276559,11,1154.30873055312,1212.75415481111,"group-mcp","elementwise",0.288281376065615,11,"Model1",-3095.24213752252,52,6294.48427504505,6570.80639028999,0.297725689594473,52,-5.64029562117629,0.172002291028796,0.352519843565292,0.256296078230247
5,10.3353497328377,1.7351220676,-0.0350008637730065,0.00403398356133771,0.0253372277320153,0.0268248495531456,0.00302434797016477,0.220981096383675,0.0194689166794065,0.00127367081612176,-0.0047526842807606,-0.000107726421672371,0.191908264266422,0.00482212201955716,0.000241029459134469,-0.00306597528328774,0.000440254703366434,0.0183504623417091,-0.000170086787861232,0.00014485101180369,0.000846456509945571,2.95791170866552e-05,0.00976436420608047,0.000327478770607101,-2.43053674423891e-06,0.000319084709254825,0.000401125565515231,0.00904632119225553,4.35975156724282e-05,1.43525190471252e-06,1.66044882344057e-05,5.78693315766019e-05,0.00256032107014112,4.18986464607275e-05,-3.79522076235613e-05,-5.10722797459273e-05,-5.93606620639426e-05,-0.000184679196227361,-4.68991036271943e-05,1.97981027025706e-05,-0.000140866977256691,-0.000137711501417551,-2.96014797308331e-05,-1.29817365848627e-05,-8.65853766170716e-05,-4.62280966049984e-05,-7.82858402570465e-05,-6.35202714638446e-05,-1.27307310949034e-05,-6.19672528660282e-05,2.79597001880449e-05,-5.53847179462038e-06,1.89383784818133e-05,1,1457,-1.5707672357341,-685.533968023885,14,1399.06793604777,1473.45302146703,"group-mcp","elementwise",0.320569623786414,14,"Model1",-3095.24213752252,52,6294.48427504505,6570.80639028999,0.297725689594473,52,-5.64029562117629,0.172002291028796,0.352519843565292,0.256296078230247
